m_ini F090W F150W F277W
0.1000000015 10.589 9.712 9.375
0.1015085950 10.538 9.652 9.310
0.1098214313 10.267 9.342 8.979
0.1130762696 10.172 9.236 8.869
0.1294642836 9.720 8.758 8.373
0.1491071582 9.332 8.371 7.978
0.1687500030 9.027 8.073 7.675
0.2080357224 8.532 7.596 7.194
0.2571428716 8.073 7.161 6.759
0.3062500358 7.719 6.828 6.431
0.3553571403 7.420 6.551 6.161
0.3752199411 7.295 6.435 6.051
0.4044643044 7.124 6.277 5.899
0.4430422187 6.846 6.025 5.666
0.4535714388 6.775 5.961 5.606
0.5026785731 6.389 5.608 5.284
0.5517857671 5.925 5.187 4.904
0.5756384730 5.698 4.990 4.731
0.6008928418 5.468 4.791 4.555
0.6098596454 5.382 4.718 4.492
0.6196109056 5.289 4.638 4.424
0.6290795803 5.198 4.560 4.356
0.6402371526 5.091 4.466 4.275
0.6499999762 4.996 4.382 4.202
0.6597239375 4.897 4.294 4.125
0.6693276167 4.796 4.203 4.043
0.6784955263 4.696 4.112 3.961
0.6866312623 4.604 4.030 3.886
0.6945137382 4.512 3.947 3.810
0.6999999881 4.445 3.887 3.756
0.7080065608 4.340 3.792 3.667
0.7162786126 4.224 3.686 3.568
0.7233805060 4.117 3.589 3.476
0.7302584648 4.004 3.485 3.377
0.7371348739 3.881 3.370 3.267
0.7450780272 3.721 3.221 3.122
0.7500000000 3.612 3.117 3.021
0.7544395924 3.505 3.016 2.921
0.7594759464 3.376 2.893 2.800
0.7635934949 3.258 2.777 2.685
0.7650150061 3.209 2.728 2.635
0.7688781023 3.067 2.580 2.485
0.7715820074 2.950 2.455 2.357
0.7721586227 2.924 2.426 2.328
0.7727270126 2.892 2.391 2.290
0.7746389508 2.772 2.254 2.147
0.7761024237 2.659 2.120 2.004
0.7772489786 2.549 1.987 1.860
0.7781735659 2.445 1.857 1.717
0.7789493799 2.347 1.737 1.584
0.7796338797 2.247 1.616 1.451
0.7802412510 2.144 1.494 1.318
0.7808427811 2.021 1.356 1.169
0.7813175917 1.909 1.234 1.040
0.7816421986 1.827 1.145 0.948
0.7819319963 1.747 1.061 0.861
0.7823119164 1.639 0.946 0.743
0.7826946378 1.524 0.826 0.619
0.7830612659 1.409 0.705 0.497
0.7834509015 1.280 0.569 0.358
0.7837778330 1.163 0.447 0.234
0.7841085792 1.036 0.314 0.099
0.7844330668 0.900 0.172 -0.045
0.7846949100 0.779 0.046 -0.172
0.7849475741 0.653 -0.085 -0.306
0.7851744890 0.530 -0.214 -0.437
0.7853801250 0.408 -0.342 -0.567
0.7855640650 0.287 -0.468 -0.695
0.7857381701 0.163 -0.599 -0.827
0.7858927846 0.042 -0.726 -0.956
0.7860301733 -0.076 -0.850 -1.082
0.7861546278 -0.193 -0.972 -1.206
0.7862713337 -0.312 -1.097 -1.334
0.7863743901 -0.428 -1.219 -1.458
0.7864695787 -0.544 -1.340 -1.581
0.7865569592 -0.659 -1.462 -1.705
0.7866345644 -0.771 -1.579 -1.824
0.7867063284 -0.881 -1.695 -1.943
0.7867752910 -0.997 -1.817 -2.067
0.7868342996 -1.104 -1.930 -2.183
0.7868888378 -1.211 -2.043 -2.298
0.7869409919 -1.322 -2.160 -2.417
0.7869864702 -1.427 -2.271 -2.530
0.7870290875 -1.531 -2.381 -2.642
0.7870734930 -1.632 -2.487 -2.751
0.7871226668 -1.711 -2.570 -2.836
0.7871435881 -1.698 -2.556 -2.821
0.7871491909 -1.716 -2.575 -2.840
0.7871801853 -1.819 -2.685 -2.952
0.7872114778 -1.930 -2.801 -3.071
0.7872381210 -2.030 -2.908 -3.180
0.7872642875 -2.134 -3.019 -3.295
0.7872886658 -2.239 -3.130 -3.408
0.7873100638 -2.338 -3.235 -3.516
0.7873312235 -2.444 -3.349 -3.630
0.7873499990 -2.545 -3.456 -3.738
0.7873675227 -2.646 -3.563 -3.847
0.7873842120 -2.748 -3.672 -3.957
0.7874021530 -2.867 -3.798 -4.085
0.7874166369 -2.970 -3.908 -4.196
0.7874315381 -3.083 -4.029 -4.319
0.7874438763 -3.184 -4.137 -4.428
0.7874563336 -3.294 -4.255 -4.548
0.7874667645 -3.390 -4.358 -4.652
0.7874776721 -3.499 -4.476 -4.771
0.7874887586 -3.618 -4.603 -4.899
0.7874977589 -3.722 -4.714 -5.012
0.7875054479 -3.815 -4.815 -5.114
0.7875134349 -3.915 -4.923 -5.224
0.7875215411 -4.020 -5.039 -5.342
0.7875283957 -4.115 -5.142 -5.448
0.7875353098 -4.214 -5.250 -5.558
0.7875416875 -4.304 -5.348 -5.659
0.7875434756 -4.327 -5.374 -5.685
0.7875434756 0.742 0.723 0.709
0.7875441313 0.707 0.683 0.667
0.7875894308 0.591 0.551 0.529
0.7876334786 0.590 0.550 0.529
0.7876776457 0.590 0.551 0.529
0.7877222300 0.589 0.549 0.527
0.7877680659 0.586 0.545 0.523
0.7878135443 0.580 0.538 0.515
0.7878560424 0.573 0.528 0.505
0.7879019380 0.563 0.516 0.492
0.7879442573 0.550 0.500 0.475
0.7879870534 0.535 0.481 0.455
0.7880320549 0.516 0.457 0.430
0.7880789042 0.494 0.429 0.400
0.7881225348 0.469 0.397 0.366
0.7881671190 0.441 0.361 0.328
0.7882140279 0.409 0.318 0.283
0.7882582545 0.377 0.274 0.237
0.7883027196 0.340 0.223 0.183
0.7883485556 0.301 0.168 0.125
0.7883954644 0.257 0.105 0.059
0.7884392738 0.214 0.042 -0.007
0.7884433866 0.210 0.036 -0.014
0.7884506583 0.203 0.026 -0.024
0.7884935141 0.165 -0.033 -0.086
0.7885353565 0.125 -0.097 -0.154
0.7885800600 0.081 -0.168 -0.229
0.7886225581 0.037 -0.240 -0.306
0.7886633277 -0.005 -0.311 -0.382
0.7887054086 -0.047 -0.384 -0.460
0.7887467146 -0.089 -0.457 -0.540
0.7887884378 -0.130 -0.528 -0.617
0.7888302207 -0.170 -0.597 -0.692
0.7888723016 -0.218 -0.679 -0.782
0.7888806462 -0.228 -0.696 -0.801
0.7889238000 -0.278 -0.778 -0.893
0.7889662981 -0.345 -0.887 -1.015
0.7890020609 -0.447 -1.047 -1.192
0.7890214920 -0.561 -1.208 -1.372
0.7890301943 -0.665 -1.346 -1.525
0.7890341282 -0.769 -1.479 -1.671
0.7890359759 -0.863 -1.594 -1.796
0.7890366912 -0.925 -1.667 -1.874
0.7890369296 -0.950 -1.697 -1.906
0.7890378237 -1.061 -1.822 -2.038
0.7890385985 -1.169 -1.943 -2.165
0.7890393734 -1.276 -2.062 -2.289
0.7890401483 -1.375 -2.170 -2.402
0.7890414596 -1.435 -2.236 -2.469
0.7890438437 -1.377 -2.172 -2.402
0.7890588641 -1.361 -2.156 -2.387
0.7890730500 -1.447 -2.250 -2.485
0.7890902162 -1.575 -2.389 -2.630
0.7891066670 -1.686 -2.509 -2.754
0.7891218066 -1.794 -2.627 -2.876
0.7891353369 -1.903 -2.744 -2.997
0.7891474366 -2.011 -2.861 -3.117
0.7891580462 -2.118 -2.977 -3.236
0.7891673446 -2.225 -3.091 -3.355
0.7891758680 -2.332 -3.207 -3.473
0.7891835570 -2.438 -3.321 -3.591
0.7891906500 -2.543 -3.434 -3.707
0.7891972661 -2.649 -3.547 -3.824
0.7892034650 -2.756 -3.662 -3.941
0.7892093658 -2.864 -3.778 -4.059
0.7892150879 -2.972 -3.894 -4.177
0.7892205119 -3.082 -4.012 -4.296
0.7892252207 -3.193 -4.131 -4.418
0.7892291546 -3.303 -4.250 -4.539
0.7892325521 -3.414 -4.370 -4.660
0.7892355919 -3.522 -4.487 -4.779
0.7892386913 -3.633 -4.607 -4.900
0.7892415524 -3.752 -4.735 -5.031
0.7892428637 -3.821 -4.810 -5.107
0.7892432809 -3.816 -4.805 -5.101
0.7892433405 -3.804 -4.792 -5.088
0.7892434001 -3.801 -4.788 -5.085
0.7892435193 -3.840 -4.831 -5.128
0.7892436385 -3.872 -4.865 -5.163
0.7892437577 -3.922 -4.920 -5.219
0.7892439365 -4.034 -5.044 -5.345
0.7892442346 -4.177 -5.203 -5.508
0.7892447710 -4.304 -5.344 -5.653
0.7892450690 -4.329 -5.382 -5.695
0.7892451286 -3.749 -4.741 -5.038
0.7892452478 -3.315 -4.270 -4.560
0.7892454267 -2.715 -3.621 -3.900
0.7892457247 -2.722 -3.629 -3.908
0.7892460823 -2.908 -3.831 -4.114
0.7892464995 -3.410 -4.376 -4.668
0.7892469764 -3.872 -4.881 -5.181
0.7892475724 -4.163 -5.203 -5.512
0.7892482281 -4.313 -5.371 -5.685
0.7892489433 -4.375 -5.443 -5.759
0.7892497182 -4.401 -5.473 -5.791
